Title,Region,Url,Min_price
Анонсирование продажи 100 % доли в уставном капитале ООО «Каменский завод газоиспользующего оборудования» и 86 объектов производственной базы в составе: недвижимое имущество – 24 объекта; сооружения – 5 объектов; движимое имущество – 56 объектов; земельный участок общей площадью 82 167 кв.м.,Ростовская область,auction/10319-anonsirovanie-prodazhi-100-doli-v-ustavnom-kapitale-ooo-kamenskii-zavod-gazoispolzujushchego-ob/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>90 530 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи двух зданий (4-этажного кирпичного здания узла связи и служебно-эксплуатационного ремонтного блока), расположенных по адресу: г. Липецк, ул. Студеновская, д. 4",Липецкая область,auction/10312-anonsirovanie-prodazhi-dvukh-zdanii-4-ehtazhnogo-kirpichnogo-zdanija-uzla-svjazi-i-sluzhebno-ehkspluat/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>59 542 400 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи: 16-ти имущественных комплексов в малоэтажном жилом комплексе, расположенных по адресу: Ленинградская область, Выборгский район, МО ""Первомайское сельское поселение"", пос. Ленинское, а также  земельного участка общей площадью 4018 кв.м с находящимися на нем объектами незавершенного строительства (индивидуальный жилой дом, хозблок), расположенными по адресу: Ленинградская область, Выборгский муниципальный район, Первомайское сельское поселение, пос. Ленинское, участок 105.",Ленинградская область,auction/10306-anonsirovanie-prodazhi-16-ti-imushchestvennykh-kompleksov-v-maloehtazhnom-zhilom-komplekse-raspolozhe/,"<dl><dt>Минимальная цена лота</dt><dd>52 766 584 руб. 07 коп.</dd><dd class=""more"">(всего лотов — 17)</dd></dl>"
"Анонсирование продажи недвижимого имущества: линий электропередачи ВЛ-330 кВ 
расположенных в Калининградской обл., Гурьевский р-н",Калининградская область,auction/10291-anonsirovanie-prodazhi-nedvizhimogo-imushchestva-linii-ehlektroperedachi-vl-330-kv-raspolozhennykh-v/,
"Анонсирование продажи: Нежилого здания по адресу: Саратовская область, Татищевский район, с. Сторожевка",Саратовская область,auction/10264-anonsirovanie-prodazhi-nezhilogo-zdanija-po-adresu-saratovskaja-oblast-tatishchevskii-raion-s-s/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>14 093 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества: 
 Инженерно-лабораторного комплекса по адресу: г. Саратов, 2-ой Московский проезд, д.2Б",Саратовская область,auction/10253-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-inzhenerno-laboratornogo-kompleksa-po/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>36 700 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи части нежилого здания, расположенного по адресу: Ставропольский край, Предгорный район, поселок Горный, улица Ессентукская, 23",Ставропольский край,auction/10209-anonsirovanie-prodazhi-chasti-nezhilogo-zdanija-raspolozhennogo-po-adresu-stavropolskii-krai-pr/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>309 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование торгов продажи здания склада газобаллонов, расположенного по адресу: Астраханская область, р-н Лиманский, с Камышово, в 300м Северо-западнее Центральной усадьбы с Камышово и в 300м от догоги Камышово-Астрахань",Астраханская область,auction/10195-anonsirovanie-torgov-prodazhi-zdanija-sklada-gazoballonov-raspolozhennogo-po-adresu-astrakhanska/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>10 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов имущественного комплекса «Корпус производственно-технологической связи г. Перми», расположенного по адресу: Пермский край, г. Пермь, ул. Луначарского, д. 54",Пермский край,auction/10192-anonsirovanie-prodazhi-obektov-imushchestvennogo-kompleksa-korpus-proizvodstvenno-tekhnologichesko/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>13 100 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование торгов продажи здания пилорамы, расположенного по адресу: Астраханская область, р-н Лиманский, в 893 м. на Северо-восток от с.Камышово и в 2894 м. на Юго-запад от с.Яр-Базар",Астраханская область,auction/10187-anonsirovanie-torgov-prodazhi-zdanija-piloramy-raspolozhennogo-po-adresu-astrakhanskaja-oblast/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>5 000 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объект незавершенного строительства (23 объекта НЗС (жилой дом), расположенный по адресу: Московская область, Серпуховский р-н, д. Станково",Московская область,auction/10181-anonsirovanie-prodazhi-obekt-nezavershennogo-stroitelstva-23-obekta-nzs-zhiloi-dom-raspolo/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>34 381 161 руб. 45 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи недвижимого имущества, расположенного по адресу: Волгоградская область, Жирновский район, 
с. Тарапатино: здание газового участка площадью 28,2 кв. м, здание гаража площадью 71,4 кв. м, земельный участок площадью 918 кв. м",Волгоградская область,auction/10180-anonsirovanie-prodazhi-nedvizhimogo-imushchestva-raspolozhennogo-po-adresu-volgogradskaja-oblast/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>197 144 руб. 90 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества (нежилого здания и земельного участка), расположенных по адресу: Волгоградская область, Руднянский район, с.Осички, ул.Мирная, 9б",Волгоградская область,auction/10179-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-nezhilogo-zdanija-i-zemelnogo-uchastka-r/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>183 905 руб. 59 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества (нежилого здания и земельного участка), расположенных по адресу: Волгоградская область, Жирновский район, с. Александровка, пер. Сосновый, 2",Волгоградская область,auction/10178-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-nezhilogo-zdanija-i-zemelnogo-uchastka-r/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>209 749 руб. 09 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого имущества, расположенных по адресу: Россия, Краснодарский край, Темрюкский район, г. Темрюк, ул. Шевченко, 90",Краснодарский край,auction/10156-anonsirovanie-prodazhi-obektov-nedvizhimogo-imushchestva-raspolozhennykh-po-adresu-rossija-krasnod/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>8 971 855 руб. 94 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи объектов недвижимого и движимого имущества, входящих в состав пункта хранения баллонов (ПХБ), расположенного по адресу: Карачаево-Черкесская Республика, г. Карачаевск, ул. Ленина",Карачаево-Черкесская Республика,auction/10154-anonsirovanie-prodazhi-obektov-nedvizhimogo-i-dvizhimogo-imushchestva-vkhodjashchikh-v-sostav-punkta-khra/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 772 209 руб. 99 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи недвижимого имущества, расположенного по адресу: Волгоградская область, г. Волжский, пос. Краснооктябрьский",Волгоградская область,auction/10148-anonsirovanie-prodazhi-nedvizhimogo-imushchestva-raspolozhennogo-po-adresu-volgogradskaja-oblast/,"<dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>1 295 280 руб. 00 коп.				
				
		
	</dd></dl>"
"Анонсирование продажи АО «Курскаямежстройгаз» нежилых зданий (Ставропольский край, п. Балтийский, ул. Юбилейная, д.17)",Ставропольский край,auction/10133-anonsirovanie-prodazhi-ao-kurskajamezhstroigaz-nezhilykh-zdanii-stavropolskii-krai-p-baltiisk/,
Анонсирование продажи квартир в Удмуртской Республике,Удмуртская Республика,auction/10128-anonsirovanie-prodazhi-kvartir-v-udmurtskoi-respublike/,"<dl><dt>Минимальная цена лота</dt><dd>1 896 000 руб. 00 коп.</dd><dd class=""more"">(всего лотов — 3)</dd></dl>"
"Анонсирование продажи квартир, расположенных в Пермском крае",Пермский край,auction/10127-anonsirovanie-prodazhi-kvartir-raspolozhennykh-v-permskom-krae/,"<dl><dt>Минимальная цена лота</dt><dd>426 227 руб. 51 коп.</dd><dd class=""more"">(всего лотов — 7)</dd></dl>"
